id,org_id,name,aka,name_long,city,country,region_continent,media,notes,proto_unicast,proto_multicast,proto_ipv6,website,social_media,url_stats,tech_email,tech_phone,policy_email,policy_phone,sales_phone,sales_email,net_count,fac_count,ixf_net_count,ixf_last_import,ixf_import_request,ixf_import_request_status,service_level,terms,status_dashboard,created,updated,status
1,2,Equinix Ashburn,,Equinix Internet Exchange Ashburn,Ashburn,US,North America,Ethernet,,True,False,True,https://ix.equinix.com,"[{'service': 'website', 'identifier': 'https://ix.equinix.com'}]",https://ix.equinix.com/home/locations-and-traffic/#traffic,support@equinix.com,,support@equinix.com,,,,343,3,0,,,queued,24/7 Support,Recurring Fees,,2010-07-29T00:00:00Z,2024-07-26T15:34:35Z,ok
2,2,Equinix Chicago,,Equinix Internet Exchange Chicago,Chicago,US,North America,Ethernet,,True,False,True,https://ix.equinix.com,"[{'service': 'website', 'identifier': 'https://ix.equinix.com'}]",https://ix.equinix.com/home/locations-and-traffic/#traffic,support@equinix.com,,support@equinix.com,,,,255,3,0,,,queued,24/7 Support,Recurring Fees,,2010-07-29T00:00:00Z,2024-07-26T15:35:01Z,ok
3,2,Equinix Dallas,,Equinix Internet Exchange Dallas,Dallas,US,North America,Ethernet,,True,False,True,https://ix.equinix.com,"[{'service': 'website', 'identifier': 'https://ix.equinix.com'}]",https://ix.equinix.com/home/locations-and-traffic/#traffic,support@equinix.com,,support@equinix.com,,,,197,6,0,,,queued,24/7 Support,Recurring Fees,,2010-07-29T00:00:00Z,2024-07-26T15:35:07Z,ok
4,2,Equinix Los Angeles,,Equinix Internet Exchange Los Angeles,Los Angeles,US,North America,Ethernet,,True,False,True,https://ix.equinix.com,"[{'service': 'website', 'identifier': 'https://ix.equinix.com'}]",https://ix.equinix.com/home/locations-and-traffic/#traffic,support@equinix.com,,support@equinix.com,,,,97,3,0,,,queued,24/7 Support,Recurring Fees,,2010-07-29T00:00:00Z,2024-07-26T15:36:49Z,ok
5,2,Equinix San Jose,,Equinix Internet Exchange San Jose (Bay Area),San Jose,US,North America,Ethernet,,True,False,True,https://ix.equinix.com,"[{'service': 'website', 'identifier': 'https://ix.equinix.com'}]",https://ix.equinix.com/home/locations-and-traffic/#traffic,support@equinix.com,,support@equinix.com,,,,201,5,0,,,queued,24/7 Support,Recurring Fees,,2010-07-29T00:00:00Z,2024-07-26T15:38:33Z,ok
7,2,Equinix Palo Alto,,Equinix Internet Exchange Palo Alto,Palo Alto,US,North America,Ethernet,Formerly PAIX,True,False,True,https://ix.equinix.com,"[{'service': 'website', 'identifier': 'https://ix.equinix.com'}]",https://ix.equinix.com/home/locations-and-traffic/#traffic,support@equinix.com,,support@equinix.com,,,,82,3,0,,,queued,24/7 Support,Recurring Fees,,2010-07-29T00:00:00Z,2024-07-26T15:38:10Z,ok
9,2,Equinix Atlanta,,Equinix Internet Exchange Atlanta,Atlanta,US,North America,Ethernet,,True,False,True,https://ix.equinix.com,"[{'service': 'website', 'identifier': 'https://ix.equinix.com'}]",https://ix.equinix.com/home/locations-and-traffic/#traffic,servicesupport@equinix.com,+18668118720,servicesupport@equinix.com,,,,29,3,0,,,queued,24/7 Support,Recurring Fees,,2010-07-29T00:00:00Z,2024-07-26T15:34:41Z,ok
11,2,Equinix Seattle,,Equinix Internet Exchange Seattle,Seattle,US,North America,Ethernet,,True,False,True,https://ix.equinix.com,"[{'service': 'website', 'identifier': 'https://ix.equinix.com'}]",https://ix.equinix.com/home/locations-and-traffic/#traffic,servicesupport@equinix.com,,servicesupport@equinix.com,,,,34,2,0,,,queued,24/7 Support,Recurring Fees,,2010-07-29T00:00:00Z,2024-07-26T15:38:45Z,ok
12,2,Equinix New York,,Equinix Internet Exchange New York,New York,US,North America,Ethernet,,True,False,True,https://ix.equinix.com,"[{'service': 'website', 'identifier': 'https://ix.equinix.com'}]",https://ix.equinix.com/home/locations-and-traffic/#traffic,servicesupport@equinix.com,+18668118720,servicesupport@equinix.com,,,,111,5,0,,,queued,24/7 Support,Recurring Fees,,2010-07-29T00:00:00Z,2024-07-26T15:37:57Z,ok
13,29,SIX Seattle,,Seattle Internet Exchange (MTU 1500),Seattle,US,North America,Ethernet,"SIX port fees:

- 400G: $15k NRC, no MRC
- 100G: $7.5k NRC, no MRC
- 10G: $1.5k NRC, no MRC
- 1G: $100 NRC, no MRC
- Extension port: $100 NRC, no MRC",True,False,True,https://www.seattleix.net/,"[{'service': 'website', 'identifier': 'https://www.seattleix.net/'}]",https://www.seattleix.net/statistics/,info@seattleix.net,+12063674320,info@seattleix.net,+12063674320,,,370,15,445,2024-11-12T00:00:16Z,2021-09-16T20:16:27Z,finished,24/7 Support,Non-recurring Fees Only,,2010-07-29T00:00:00Z,2023-12-22T17:45:29Z,ok
